	Peak1	Peak2	Peak3	Cen1	Cen2	Cen3	Size1	Size2	Size3	Sum	Peak	Volume
34	52.0	36.0	55.0	54.23057974384424	36.01588189834673	54.08415207552782	4.324865828573761	2.9362654533753814	4.002646728276375	7165.288240835071	7.176734447479248	3000.0
35	99.0	65.0	55.0	99.10561399183807	64.69888844216845	55.38164717533691	2.769569453895309	2.543156149585092	2.9099357344925303	2832.19523948431	5.4215288162231445	1262.0
36	92.0	99.0	56.0	92.01731679214093	98.78707959478284	55.794759295667205	2.3336846205937096	3.129307850299566	3.6304266371613148	3589.696928203106	8.11363410949707	1635.0
37	60.0	23.0	57.0	59.97173510731561	23.098386981887998	57.42383195529511	3.1170098990319186	2.3589214192926735	3.244203833738765	3795.1979537010193	10.07153606414795	1533.0
38	89.0	76.0	57.0	88.95166319396262	76.03494653875839	56.86757222473781	3.449413965544502	1.855958150091303	2.5921878670875285	2241.120618760586	7.167193412780762	1074.0
39	97.0	55.0	59.0	96.92304421064557	54.94559268359253	58.07252945679375	2.2883496490717596	2.2361472118216006	3.7704598869444	1955.296657860279	6.001631259918213	1055.0
40	104.0	50.0	61.0	104.90847318278591	48.37647276848694	60.05242396016631	2.906591027213289	3.8712171036204026	3.7976001528250207	5260.714663028717	10.438968658447266	2267.0
41	33.0	93.0	62.0	33.30897775385073	92.97846413463083	62.426967331442526	3.1656105634223017	1.899257283759026	3.2415367490558853	2569.727734744549	6.392115592956543	1215.0
42	41.0	29.0	63.0	40.90744839417592	28.94500034136747	62.410454700897134	2.693418831991203	2.0032292728803567	2.720808717866945	1266.2780850827694	3.965864658355713	692.0
43	84.0	84.0	63.0	84.05001190989954	83.99883502129761	63.587372085655964	2.729053168800973	2.638720138182325	3.8711912460603632	2835.159319356084	6.189241886138916	1429.0
44	98.0	89.0	63.0	96.79758364659821	88.9955476942428	62.68782536059539	2.1963711253248497	2.8947468986669413	3.8039459124977513	2233.6224977970123	4.528432846069336	1282.0
45	15.0	93.0	64.0	15.083896370259271	92.97783325629857	63.858057714819836	2.0589517243162074	2.5914963438995966	2.4061128303151835	888.8676864355803	5.163496017456055	578.0
46	43.0	66.0	65.0	42.30156317903665	66.84470001086481	64.1197148511103	2.6764569496550203	3.4619627902117838	3.044592877168791	5139.50073954463	9.499214172363281	1946.0
47	32.0	76.0	65.0	30.85256330028476	77.26031450667304	65.57282558489483	2.92363316293204	2.849039369092202	3.8687846171794424	3357.2486899346113	7.665566444396973	1590.0
48	58.0	102.0	66.0	60.24977330456814	103.85168819952813	65.80781669491496	3.507855498372947	3.3685784664436387	3.5862885823238915	6678.840945363045	9.318577766418457	2491.0
49	89.0	60.0	70.0	89.89949607968067	61.20876962443785	69.93339269434054	2.6725088293725547	1.6486035299300945	2.086641339368506	545.6509141921997	4.994724750518799	374.0
50	38.0	90.0	70.0	37.89295078195228	89.15206090192663	71.07958171924689	2.2028027194753683	2.765473740352358	2.795841660431956	1358.5313156843185	5.285737991333008	803.0
51	67.0	30.0	74.0	67.84459764974588	29.966964182035223	73.190051490167	2.8935002926754647	1.8363190040909119	3.5769632071434683	1920.1569237411022	6.916965007781982	1065.0
52	25.0	61.0	74.0	22.78171715622727	61.763572423793	74.20347833674828	3.4981920995844114	3.2099515300156365	3.561330901250062	5542.734029233456	9.474502563476562	2352.0
53	23.0	76.0	75.0	23.465393787290953	76.58830404270977	75.32920256096978	2.2009045050690843	3.1467423555805856	2.937187891156148	2210.6290333867073	7.171960830688477	1150.0
54	58.0	82.0	75.0	57.05993446003574	81.30441979013581	74.90004722207932	3.147397702554097	3.1861047881222633	2.75802765988878	4851.184441000223	10.349067687988281	1850.0
55	27.0	101.0	77.0	27.020156708490028	101.00819828902287	76.32093585388893	2.242119173235319	2.581233949053971	2.6149684427701625	1389.7033074647188	5.952481269836426	784.0
56	41.0	20.0	80.0	41.1272739349057	20.12031829496014	79.23735537428327	2.6519866950946636	2.459173482048083	3.066744403786881	2287.863222539425	6.352019309997559	1137.0
57	105.0	100.0	81.0	104.94020503122292	99.94173978046327	79.92814328268749	2.9000711597347246	2.4164180100700374	3.44776396587126	4088.6224106252193	9.021308898925781	1626.0
58	81.0	82.0	82.0	82.38028323001517	82.95176389107961	82.62996879105818	2.3931927003836537	1.971297258132387	3.88173873253436	1735.270761668682	5.653830528259277	971.0
59	54.0	20.0	83.0	54.05681358375777	19.979492091438054	83.25482944817139	2.4921930105070493	2.3914095423802486	3.4214176446131845	2118.841980457306	5.24212646484375	1123.0
